Descrição,Valor,Criação,Tipo,Identificação,Valor Gasto,Valor Recebido,📊 Mês
"RSHOP-SUPERMERCAD-07/03 -160,03",-160.03,"March 7, 2023",saída,,-160.03,0,
"REND PAGO APLIC AUT MAIS 3,65",3.65,"March 7, 2023",entrada,,0,3.65,
"RSHOP-SUPERMERCAD-06/03 -23,25",-23.25,"March 6, 2023",saída,,-23.25,0,
"RSHOP-PAG*Masende-06/03 -6,00",-6,"March 6, 2023",saída,,-6,0,
"REND PAGO APLIC AUT MAIS 0,29",0.29,"March 6, 2023",entrada,,0,0.29,
"RSHOP-SUPERMERCAD-02/03 -73,58",-73.58,"March 2, 2023",saída,,-73.58,0,
"REND PAGO APLIC AUT MAIS 0,72",0.72,"March 2, 2023",entrada,,0,0.72,
"RSHOP-EDILCE DAS -01/03 -50,55",-50.55,"March 1, 2023",saída,,-50.55,0,
"PAY -PAG*BarDoNe-01/03 -34,25",-34.25,"March 1, 2023",saída,,-34.25,0,
"PAY -PAG*BarDoNe-01/03 -34,00",-34,"March 1, 2023",saída,,-34,0,
"REND PAGO APLIC AUT MAIS 1,20",1.2,"March 1, 2023",entrada,,0,1.2,
PAY -PAG*Masende-28/02,-5.5,"February 28, 2023",saída,,-5.5,0,
RSHOP-EDILCE DAS -26/02,-50.65,"February 27, 2023",saída,,-50.65,0,
PAY -O REAL ROCA-25/02,-11.6,"February 27, 2023",saída,,-11.6,0,
RSHOP-SUPERMERCAD-27/02,-136.11,"February 27, 2023",saída,,-136.11,0,
RSHOP-SUPERMERCAD-27/02,-25.93,"February 27, 2023",saída,,-25.93,0,
27/02/2023 TED 422.0115SANTILLANA E,672,"February 27, 2023",entrada,,0,672,
PAY -RESTAURANTE-24/02,-18,"February 24, 2023",saída,,-18,0,
24/02/2023 REND PAGO APLIC AUT MAIS,0.11,"February 24, 2023",rendimento,,0,0.11,
PAY -SUPERMERCAD-23/02,-64.62,"February 23, 2023",saída,,-64.62,0,
PAY -RESTAURANTE-23/02,-20,"February 23, 2023",saída,,-20,0,
23/02/2023 REND PAGO APLIC AUT MAIS,0.51,"February 23, 2023",rendimento,,0,0.51,
PAY -PAG*Mercado-20/02,-16,"February 22, 2023",saída,,-16,0,
PAY -GERALDO RES-18/02,-18,"February 22, 2023",saída,,-18,0,
PAY -REST EMGREN-21/02,-20,"February 22, 2023",saída,,-20,0,
PAY -DROGARIA DO-20/02,-15.8,"February 22, 2023",saída,,-15.8,0,
INT CEMIG DISTRIBUICA 00,-133.12,"February 22, 2023",saída,,-133.12,0,
PIX TRANSF MARLEID18/02,-26,"February 22, 2023",saída,,-26,0,
PAY -RESTAURANTE-20/02,-17,"February 22, 2023",saída,,-17,0,
PAY -REST EMGREN-22/02,-17,"February 22, 2023",saída,,-17,0,
PAY -PAG*Padaria-19/02,-5.92,"February 22, 2023",saída,,-5.92,0,
PAY -PAG*Padaria-19/02,-11.45,"February 22, 2023",saída,,-11.45,0,
PAY -SABOR DA EM-18/02,-16,"February 22, 2023",saída,,-16,0,
PAY -SUPERMERCAD-20/02,-106.33,"February 22, 2023",saída,,-106.33,0,
INT PAG TIT BANCO 001,-102.3,"February 22, 2023",saída,,-102.3,0,
RSHOP-EDILCE DAS -18/02,-155,"February 22, 2023",saída,,-155,0,
INT COPASA 0123081538249,-44.65,"February 22, 2023",saída,,-44.65,0,
INT CEMIG DISTRIBUICA 01,-132.72,"February 22, 2023",saída,,-132.72,0,
22/02/2023 REND PAGO APLIC AUT MAIS,4.22,"February 22, 2023",rendimento,,0,4.22,
PAY -MP *LADEIRA-17/02,-17,"February 17, 2023",saída,,-17,0,
PAY -O REAL ROCA-17/02,-9.9,"February 17, 2023",saída,,-9.9,0,
PAY -PAG*BarRil -17/02,-4,"February 17, 2023",saída,,-4,0,
PAY -PAG*BarRil -17/02,-12.8,"February 17, 2023",saída,,-12.8,0,
RSHOP-SUPERMERCAD-17/02,-19.52,"February 17, 2023",saída,,-19.52,0,
17/02/2023 REND PAGO APLIC AUT MAIS,0.38,"February 17, 2023",rendimento,,0,0.38,
PIX TRANSF Pollyan16/02,-300,"February 16, 2023",saída,,-300,0,
PAY -RESTAURANTE-16/02,-18,"February 16, 2023",saída,,-18,0,
RSHOP-POSTO LAGOA-16/02,-108,"February 16, 2023",saída,,-108,0,
PAY -PAG*LaraAnd-16/02,-36,"February 16, 2023",saída,,-36,0,
RSHOP-SUPERMERCAD-16/02,-43.07,"February 16, 2023",saída,,-43.07,0,
16/02/2023 REND PAGO APLIC AUT MAIS,5.37,"February 16, 2023",rendimento,,0,5.37,
RSHOP-EDILCE DAS -15/02,-55,"February 15, 2023",saída,,-55,0,
RSHOP-FEIRA DO MA-15/02,-9.2,"February 15, 2023",saída,,-9.2,0,
15/02/2023 REND PAGO APLIC AUT MAIS,0.71,"February 15, 2023",rendimento,,0,0.71,
PAY -O REAL ROCA-14/02,-1.5,"February 14, 2023",saída,,-1.5,0,
RSHOP-EDILCE DAS -14/02,-37,"February 14, 2023",saída,,-37,0,
14/02/2023 REND PAGO APLIC AUT MAIS,0.42,"February 14, 2023",rendimento,,0,0.42,
PAY -GERALDO RES-11/02,-77.7,"February 13, 2023",saída,,-77.7,0,
PAY -SUPERMERCAD-11/02,-153.4,"February 13, 2023",saída,,-153.4,0,
RSHOP-PAG*PauloAn-11/02,-32,"February 13, 2023",saída,,-32,0,
PAY -VALERIA BUZ-12/02,-12,"February 13, 2023",saída,,-12,0,
RSHOP-EDILCE DAS -13/02,-78.74,"February 13, 2023",saída,,-78.74,0,
RSHOP-SUPERMERCAD-11/02,-4.85,"February 13, 2023",saída,,-4.85,0,
13/02/2023 REND PAGO APLIC AUT MAIS,3.88,"February 13, 2023",rendimento,,0,3.88,
PIX QRS CLARO10/02,-177.59,"February 10, 2023",saída,,-177.59,0,
PIX QRS CLARO10/02,-173.06,"February 10, 2023",saída,,-173.06,0,
PAY -PAG*PauloHe-10/02,-10,"February 10, 2023",saída,,-10,0,
PAY -POWER POINT-10/02,-16,"February 10, 2023",saída,,-16,0,
10/02/2023 REND PAGO APLIC AUT MAIS,4.03,"February 10, 2023",rendimento,,0,4.03,
RSHOP-SUPERMERCAD-09/02,-45.01,"February 9, 2023",saída,,-45.01,0,
PAY -FABIANO ROB-09/02,-84,"February 9, 2023",saída,,-84,0,
09/02/2023 REND PAGO APLIC AUT MAIS,1.45,"February 9, 2023",rendimento,,0,1.45,
PAY -DROGARIA DO-07/02,-6.4,"February 7, 2023",saída,,-6.4,0,
RSHOP-SUPERMERCAD-06/02,-46.16,"February 6, 2023",saída,,-46.16,0,
PAY -GERALDO RES-04/02,-34.2,"February 6, 2023",saída,,-34.2,0,
PIX QRS ELESSANDRA 06/02,-310,"February 6, 2023",saída,,-310,0,
RSHOP-EDILCE DAS -05/02,-47.8,"February 6, 2023",saída,,-47.8,0,
PAY -MP *LADEIRA-04/02,-28,"February 6, 2023",saída,,-28,0,
PAY -VALERIA BUZ-06/02,-12,"February 6, 2023",saída,,-12,0,
06/02/2023 REND PAGO APLIC AUT MAIS,4.89,"February 6, 2023",rendimento,,0,4.89,
INT TED D fc93e6cd,-7000,"February 3, 2023",investimento,,0,0,
RSHOP-EDILCE DAS -03/02,-167,"February 3, 2023",saída,,-167,0,
RSHOP-ELDORADO DI-03/02,-36,"February 3, 2023",saída,,-36,0,
03/02/2023 REND PAGO APLIC AUT MAIS,80.47,"February 3, 2023",rendimento,,0,80.47,
PIX QRS Alipay/AliE02/02,-165,"February 2, 2023",saída,,-165,0,
PIX QRS Alipay/AliE02/02,-21.43,"February 2, 2023",saída,,-21.43,0,
PIX QRS Alipay/AliE02/02,-12,"February 2, 2023",saída,,-12,0,
REND PAGO APLIC AUT MAIS,0.74,"February 2, 2023",rendimento,,0,0.74,
PIX QRS JACQUELINE 01/02,-10,"February 1, 2023",saída,,-10,0,
RSHOP-SUPERMERCAD-31/01,-83.61,"January 31, 2023",saída,supermercado,-83.61,0,
PIX TRANSF MARA AP31/01,-600,"January 31, 2023",saída,,-600,0,
RSHOP-EDILCE DAS -31/01,-29,"January 31, 2023",saída,lanche,-29,0,
PAY -PAG*Daespet-31/01,-20,"January 31, 2023",saída,lanche,-20,0,
PAY -PAG*Jaqueli-29/01,-27,"January 30, 2023",saída,,-27,0,
RSHOP-EDILCE DAS -28/01,-55.95,"January 30, 2023",saída,supermercado,-55.95,0,
RSHOP-EDILCE DAS -30/01,-9.65,"January 30, 2023",saída,supermercado,-9.65,0,
RSHOP-MERCADO NOS-29/01,-28,"January 30, 2023",saída,supermercado,-28,0,
PAY -ELDORADO DI-28/01,-14,"January 30, 2023",saída,supermercado,-14,0,
REND PAGO APLIC AUT APR,1.62,"January 30, 2023",rendimento,,0,1.62,
PAY -REST EMGREN-27/01,-18,"January 27, 2023",saída,supermercado,-18,0,
RSHOP-EDILCE DAS -27/01,-15.68,"January 27, 2023",saída,supermercado,-15.68,0,
REND PAGO APLIC AUT MAIS,4,"January 27, 2023",rendimento,,0,4,
PAY -REST EMGREN-26/01,-18,"January 26, 2023",saída,supermercado,-18,0,
SISPAG SANTILLANA EDUC,672,"January 26, 2023",entrada,,0,672,
PIX TRANSF CHRISTI24/01,-800,"January 24, 2023",saída,,-800,0,
REND PAGO APLIC AUT MAIS,9.22,"January 24, 2023",rendimento,,0,9.22,
RSHOP-SUPERMERCAD-22/01,-88.46,"January 23, 2023",saída,supermercado,-88.46,0,
PAY -FABIANO ROB-22/01,-85.84,"January 23, 2023",saída,,-85.84,0,
PAY -O REAL ROCA-21/01,-5,"January 23, 2023",saída,,-5,0,
PAY -MP *LADEIRA-22/01,-157,"January 23, 2023",saída,,-157,0,
RSHOP-SUPERMERCAD-23/01,-256.77,"January 23, 2023",saída,supermercado,-256.77,0,
REND PAGO APLIC AUT MAIS,5.15,"January 23, 2023",rendimento,,0,5.15,
PAY -ELDORADO DI-20/01,-24.75,"January 20, 2023",saída,supermercado,-24.75,0,
PAY -SABOR DA EM-20/01,-12,"January 20, 2023",saída,lanche,-12,0,
RSHOP-SUPERMERCAD-20/01,-49.89,"January 20, 2023",saída,supermercado,-49.89,0,
RSHOP-EDILCE DAS -20/01,-204,"January 20, 2023",saída,supermercado,-204,0,
REND PAGO APLIC AUT MAIS,12,"January 20, 2023",rendimento,,0,12,
PIX TRANSF Pollyan19/01,-300,"January 19, 2023",saída,,-300,0,
RSHOP-FEIRA DO MA-19/01,-20.95,"January 19, 2023",saída,supermercado,-20.95,0,
REND PAGO APLIC AUT MAIS,1.55,"January 19, 2023",rendimento,,0,1.55,
DEV PIX Alipay/AliE19/01,182.53,"January 19, 2023",entrada,,0,182.53,
RSHOP-SUPERMERCAD-18/01,-39.52,"January 18, 2023",saída,supermercado,-39.52,0,
RSHOP-SUPERMERCAD-18/01,-54.64,"January 18, 2023",saída,supermercado,-54.64,0,
REND PAGO APLIC AUT MAIS,1.04,"January 18, 2023",rendimento,,0,1.04,
PIX QRS Alipay/AliE17/01,-159.06,"January 17, 2023",saída,,-159.06,0,
PIX TRANSF Weverto17/01,-20,"January 17, 2023",saída,,-20,0,
PAY -PAG*Daespet-17/01,-14,"January 17, 2023",saída,supermercado,-14,0,
REND PAGO APLIC AUT MAIS,2.11,"January 17, 2023",rendimento,,0,2.11,
PAY -PG *TON BLA-15/01,-45,"January 16, 2023",saída,,-45,0,
PAY -SUPERMERCAD-14/01,-190.17,"January 16, 2023",saída,supermercado,-190.17,0,
PAY -RESTAURANTE-14/01,-26,"January 16, 2023",saída,almoço,-26,0,
REND PAGO APLIC AUT MAIS,2.82,"January 16, 2023",rendimento,,0,2.82,
PAY -PG *TON BAR-13/01,-30,"January 13, 2023",saída,,-30,0,
PAY -REST EMGREN-13/01,-18,"January 13, 2023",saída,almoço,-18,0,
PIX QRS SECRETARIA 13/01  -DAS,-78.46,"January 13, 2023",saída,,-78.46,0,
PIX QRS SECRETARIA 13/01  -DAS,-81.45,"January 13, 2023",saída,,-81.45,0,
PIX QRS SECRETARIA 13/01  -DAS,-80.78,"January 13, 2023",saída,,-80.78,0,
PIX QRS SECRETARIA 13/01  -DAS,-65.6,"January 13, 2023",saída,,-65.6,0,
PIX QRS SECRETARIA 13/01  -DAS,-71.46,"January 13, 2023",saída,,-71.46,0,
REND PAGO APLIC AUT MAIS,4.55,"January 13, 2023",rendimento,,0,4.55,
RSHOP-SUPERMERCAD-12/01,-102.69,"January 12, 2023",saída,supermercado,-102.69,0,
PIX TRANSF Mariana12/01,-30.03,"January 12, 2023",saída,,-30.03,0,
PIX TRANSF JACKFRU12/01,1920,"January 12, 2023",entrada,,0,1920,
INT PAG TIT BANCO 001,-99,"January 11, 2023",saída,,-99,0,
INT COPASA 0123013000841,-39.89,"January 11, 2023",saída,,-39.89,0,
INT CEMIG DISTRIBUICA 00,-118.7,"January 11, 2023",saída,,-118.7,0,
REND PAGO APLIC AUT MAIS,2.69,"January 11, 2023",rendimento,,0,2.69,
PIX QRS Alipay/AliE10/01,-182.53,"January 10, 2023",saída,,-182.53,0,
RSHOP-ELDORADO DI-10/01,-48.55,"January 10, 2023",saída,supermercado,-48.55,0,
PAY -POWER POINT-10/01,-130,"January 10, 2023",saída,,-130,0,
RSHOP-ELDORADO DI-10/01,-13.45,"January 10, 2023",saída,supermercado,-13.45,0,
RSHOP-EDILCE DAS -10/01,-177,"January 10, 2023",saída,supermercado,-177,0,
REND PAGO APLIC AUT MAIS,4.06,"January 10, 2023",rendimento,,0,4.06,
PIX QRS ELESSANDRA 07/01,-90,"January 9, 2023",saída,,-90,0,
RSHOP-FEIRA DO MA-07/01,-57,"January 9, 2023",saída,supermercado,-57,0,
PAY -PAG*Padaria-08/01,-19.33,"January 9, 2023",saída,supermercado,-19.33,0,
RSHOP-EDILCE DAS -07/01,-49.15,"January 9, 2023",saída,supermercado,-49.15,0,
REND PAGO APLIC AUT MAIS,1.68,"January 9, 2023",rendimento,,0,1.68,
RSHOP-SUPERMERCAD-05/01,-188.69,"January 5, 2023",saída,supermercado,-188.69,0,
RSHOP-SUPERMERCAD-05/01,-102.3,"January 5, 2023",saída,supermercado,-102.3,0,
REND PAGO APLIC AUT MAIS,3,"January 5, 2023",rendimento,,0,3,
PAY -O REAL ROCA-04/01,-9.27,"January 4, 2023",saída,,-9.27,0,
RSHOP-SUPERMERCAD-03/01,-36.52,"January 3, 2023",saída,supermercado,-36.52,0,
REND PAGO APLIC AUT MAIS,0.36,"January 3, 2023",rendimento,,0,0.36,
PAY -FABIANO ROB-01/01,-10,"January 2, 2023",saída,,-10,0,
PAY -FABIANO ROB-01/01,-10,"January 2, 2023",saída,,-10,0,
PAY -PAG*Daespet-01/01,-24,"January 2, 2023",saída,supermercado,-24,0,
RSHOP-REST EMGREN-31/12,-30,"January 2, 2023",saída,almoço,-30,0,
RSHOP-REST EMGREN-02/01,-28,"January 2, 2023",saída,almoço,-28,0,
REND PAGO APLIC AUT MAIS,0.98,"January 2, 2023",rendimento,,0,0.98,
